2026-03-02 22:34:36,154 | TRANSPORT_LAYER      | INFO     | Transport layer initializated
2026-03-02 22:34:36,154 | COMMUNICATION_LAYER  | INFO     | Starting Communication layer
2026-03-02 22:34:36,158 | COMMUNICATION_LAYER  | INFO     | Modules discovered: ['COMMUNICATION_CLIENT']
2026-03-02 22:34:36,160 | COMMUNICATION_LAYER  | INFO     | Loading communication module: COMMUNICATION_CLIENT
2026-03-02 22:34:36,160 | COMMUNICATION_CLIENT | INFO     | Configurating module
2026-03-02 22:34:36,160 | COMMUNICATION_CLIENT | INFO     | Module configurated successfully
2026-03-02 22:34:36,160 | COMMUNICATION_CLIENT | INFO     | Starting module
2026-03-02 22:34:36,161 | COMMUNICATION_CLIENT | INFO     | Starting connection orchestrator
2026-03-02 22:34:36,161 | COMMUNICATION_CLIENT | INFO     | Module successfully started
2026-03-02 22:34:36,161 | COMMUNICATION_LAYER  | INFO     | Module COMMUNICATION_CLIENT loaded and started successfully
2026-03-02 22:34:36,161 | COMMUNICATION_LAYER  | INFO     | Module: COMMUNICATION_CLIENT, loaded successfully
2026-03-02 22:34:36,161 | COMMUNICATION_LAYER  | INFO     | Communication layer loaded successfully
2026-03-02 22:34:41,163 | TRANSPORT_LAYER      | INFO     | Transport layer receiving connection with module: <class 'shared.communication_architecture.layers.transport.modules.tcpip.TransportModule'>, with configurations: <configurations.classes.configurations.Configurations object at 0x706c9013db80>
2026-03-02 22:34:41,163 | TRANSPORT_TCP_IP     | INFO     | Module configurated
2026-03-02 22:34:41,164 | TRANSPORT_TCP_IP     | INFO     | Module initializated
2026-03-02 22:34:41,164 | TRANSPORT_TCP_IP     | INFO     | Receiving connection with the module
2026-03-02 22:34:41,164 | TRANSPORT_TCP_IP     | INFO     | Starting receiver connections routine
2026-03-02 22:34:41,166 | TRANSPORT_LAYER      | INFO     | Connection (receive) registered with the identifier: 1
2026-03-02 22:34:41,166 | TRANSPORT_TCP_IP     | INFO     | Receiving connections of type: 2, with TCP
2026-03-02 22:34:41,167 | TRANSPORT_TCP_IP     | INFO     | Successfully binded the server
2026-03-02 22:34:41,167 | TRANSPORT_TCP_IP     | INFO     | Starting receive connections process
2026-03-02 22:34:41,167 | COMMUNICATION_LAYER  | INFO     | Creating session for connection: 1 with role: ACTIVE
2026-03-02 22:34:41,169 | PROTECTION_LAYER     | INFO     | Protection layer initializated
2026-03-02 22:34:41,170 | PROTECTION_LAYER     | INFO     | Starting negotation with role: ACTIVE, with the connection: 1
2026-03-02 22:34:41,270 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:41,382 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:41,493 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:41,604 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:41,715 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:41,827 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:41,938 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:42,049 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:42,160 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:42,168 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-03-02 22:34:42,271 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:42,382 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:42,494 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:42,605 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:42,716 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:42,827 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:42,939 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:43,050 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:43,161 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:43,170 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-03-02 22:34:43,272 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:43,384 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:43,495 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:43,606 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:43,717 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:43,828 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:43,939 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:44,051 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:44,162 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:44,172 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-03-02 22:34:44,273 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:44,384 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:44,495 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:44,607 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:44,717 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:44,829 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:44,940 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:45,051 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:45,162 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:45,173 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-03-02 22:34:45,274 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:45,385 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:45,496 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:45,607 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:45,718 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:45,830 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:45,941 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:46,052 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:46,163 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:46,174 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
2026-03-02 22:34:46,274 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:46,386 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:46,497 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:46,608 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:46,719 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:46,830 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:46,941 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:47,052 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-03-02 22:34:47,176 | TRANSPORT_TCP_IP     | ERROR    | Expired timeout on the connection reception
