2026-02-19 19:12:12,896 | TRANSPORT_LAYER      | INFO     | Transport layer initializated
2026-02-19 19:12:17,899 | TRANSPORT_LAYER      | INFO     | Transport layer receiving connection with module: <class 'shared.communication_architecture.layers.transport.modules.tcpip.TransportModule'>, with configurations: <configurations.classes.configurations.Configurations object at 0x7645af536cf0>
2026-02-19 19:12:17,900 | TRANSPORT_TCP_IP     | INFO     | Module configurated
2026-02-19 19:12:17,901 | TRANSPORT_TCP_IP     | INFO     | Module initializated
2026-02-19 19:12:17,901 | TRANSPORT_TCP_IP     | INFO     | Receiving connection with the module
2026-02-19 19:12:17,902 | TRANSPORT_TCP_IP     | INFO     | Starting receiver connections routine
2026-02-19 19:12:17,903 | TRANSPORT_LAYER      | INFO     | Connection (receive) registered with the identifier: 1
2026-02-19 19:12:17,903 | TRANSPORT_TCP_IP     | INFO     | Receiving connections of type: 2, with TCP
2026-02-19 19:12:17,903 | TRANSPORT_TCP_IP     | INFO     | Successfully binded the server
2026-02-19 19:12:17,904 | TRANSPORT_TCP_IP     | INFO     | Starting receive connections process
2026-02-19 19:12:17,907 | PROTECTION_LAYER     | INFO     | Protection layer initializated
2026-02-19 19:12:17,908 | PROTECTION_LAYER     | INFO     | Starting negotation with role: ACTIVE, with the connection: 1
2026-02-19 19:12:18,008 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-19 19:12:18,119 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-19 19:12:18,230 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-19 19:12:18,342 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-19 19:12:18,453 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-19 19:12:18,564 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-19 19:12:18,675 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
2026-02-19 19:12:18,787 | TRANSPORT_LAYER      | INFO     | Data received: b'', with length: 0, from the connection: 1
